id,date,state,category,amount_sanctioned,amount_disbursed,vendor_frequency,delay_days,project_id,vendor_id
0,2020-04-12,Tamil Nadu,Water,27399.703725727046,9278.306062238134,2,6.791206120573724,PRJ_2,VEN_45
1,2021-03-11,Tamil Nadu,Water,144291.7525129836,120016.97360285048,3,15.2992247024677,PRJ_50,VEN_22
2,2022-05-10,Maharashtra,Water,109878.56723725723,23012.19939364683,1,2.0723265638115866,PRJ_41,VEN_5
3,2020-09-27,Maharashtra,Health,222161.2806088932,17054.32068293347,4,8.440113138233476,PRJ_45,VEN_31
4,2020-04-16,Delhi,Health,17109.873741468666,15881.049204187131,5,4.817652833527793,PRJ_9,VEN_13
5,2020-03-12,Maharashtra,Health,36226.186239667775,4343.539127626915,3,32.805605029099425,PRJ_62,VEN_28
6,2021-12-01,Karnataka,Health,79314.76343756709,19736.608627652357,2,0.6214844628634008,PRJ_86,VEN_20
7,2020-01-21,Tamil Nadu,Education,23727.242753082955,36224.29326137441,0,36.75366477080696,PRJ_47,VEN_33
8,2021-09-06,Delhi,Education,113741.93544973055,14982.178481134064,3,26.845895530444377,PRJ_5,VEN_16
9,2020-05-01,Maharashtra,Education,203745.52898416235,33538.60616929451,1,5.298158202208275,PRJ_76,VEN_29
10,2021-04-11,Karnataka,Infrastructure,33411.05217838171,9279.926718965058,1,23.35913408195449,PRJ_1,VEN_23
11,2020-08-02,Karnataka,Water,62229.966561575326,19131.129148823704,1,0.47566625831723486,PRJ_44,VEN_24
12,2020-11-26,Maharashtra,Health,256688.53172724257,30228.495757412657,1,51.10772641795477,PRJ_22,VEN_34
13,2021-04-03,Tamil Nadu,Health,361953.6974458918,26626.463724359433,2,11.21705848191795,PRJ_38,VEN_7
14,2020-03-28,Maharashtra,Education,126222.46837263217,4422.829418850519,2,5.420597149608112,PRJ_19,VEN_38
15,2021-01-07,Delhi,Health,108383.28657291725,14199.954638732204,1,6.754973100443371,PRJ_80,VEN_37
16,2020-04-09,Maharashtra,Health,25495.658590905874,117884.77346582613,0,1.0306939835762703,PRJ_31,VEN_4
17,2022-05-21,Karnataka,Water,85751.5465520392,13461.027339660526,5,68.13224637018357,PRJ_67,VEN_34
18,2021-10-25,Maharashtra,Education,104487.30301696388,22377.416652174554,0,0.6012706387073372,PRJ_87,VEN_42
19,2020-05-10,Tamil Nadu,Water,48515.074421075136,20196.08897311354,0,15.959125348706182,PRJ_42,VEN_22
20,2021-10-23,Uttar Pradesh,Infrastructure,33031.72510482358,105687.27311863769,1,8.770740808929189,PRJ_82,VEN_5
21,2020-11-04,Maharashtra,Infrastructure,16625.656052054022,80046.91043139657,1,44.61432320298698,PRJ_26,VEN_42
22,2022-02-08,Tamil Nadu,Infrastructure,10533.018749938128,49391.37040798537,3,4.235438498303163,PRJ_13,VEN_23
23,2020-12-09,Tamil Nadu,Education,8536.586389540113,8322.830552780553,1,11.392087822661255,PRJ_58,VEN_15
24,2021-05-06,Karnataka,Health,106877.92484841032,31545.399752986174,0,9.8770190194026,PRJ_18,VEN_31
25,2021-02-17,Tamil Nadu,Education,69403.96831744311,38868.58979200776,1,18.20360336885542,PRJ_67,VEN_9
26,2022-03-16,Tamil Nadu,Education,36908.19412774945,10953.29019350461,4,1.0565016426979725,PRJ_87,VEN_43
27,2021-01-20,Tamil Nadu,Health,42982.300870334024,9223.251338628315,2,3.231149181183557,PRJ_3,VEN_25
28,2020-07-10,Tamil Nadu,Water,73900.17991672982,121177.79753813685,0,3.6227601824573274,PRJ_55,VEN_25
29,2022-08-13,Delhi,Infrastructure,50789.0941783883,16304.50432835449,3,20.099795114795434,PRJ_89,VEN_49
30,2020-10-03,Delhi,Water,15669.114429428866,110744.03416935529,1,3.144873875860398,PRJ_91,VEN_21
31,2020-06-09,Karnataka,Infrastructure,149193.62236186917,59700.38543124047,1,12.781854019695055,PRJ_58,VEN_9
32,2021-04-04,Maharashtra,Education,81155.8103635538,33119.475842924985,0,3.6357331321496065,PRJ_63,VEN_48
33,2020-11-09,Tamil Nadu,Infrastructure,78111.96146120175,34631.932372000934,3,29.66681290835017,PRJ_91,VEN_38
