ida_id,name,jurisdiction,state
IDA_20C1A682,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Punjab,Punjab
IDA_FD7D988F,CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA),Tamil Nadu,Tamil Nadu
IDA_B1C0862E,CHENGALPATTU(DISTRICT COLLECTOR CHENGALPATTU_IDA),Tamil Nadu,Tamil Nadu
IDA_6EE13FB1,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),Tamil Nadu,Tamil Nadu
IDA_27FE9B88,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),Tamil Nadu,Tamil Nadu
IDA_FCF64F89,NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4),Tamil Nadu,Tamil Nadu
IDA_E2D39488,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),Punjab,Punjab
IDA_64C5DEAF,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),Karnataka,Karnataka
IDA_AE47CA55,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Uttar Pradesh,Uttar Pradesh
IDA_BF7A9B62,SUBARNAPUR(DISTRICT COLLECTOR SUBARNAPUR_IDA),Odisha,Odisha
IDA_B74DF13C,PURI(DISTRICT COLLECTOR PURI_IDA),Odisha,Odisha
IDA_501003ED,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),Chhattisgarh,Chhattisgarh
IDA_A76AE1E8,NAYAGADA(DISTRICT COLLECTOR NAYAGARH_IDA),Odisha,Odisha
IDA_FFE6BEA9,SUNDARAGADA(DISTRICT COLLECTOR SUNDARGARH_IDA),Odisha,Odisha
IDA_1D1F5568,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),Uttar Pradesh,Uttar Pradesh
IDA_CBB36CF9,SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA),Punjab,Punjab
IDA_FF671741,MANDYA(DEPUTY COMMISSIONER MANDYA_IDA),Karnataka,Karnataka
IDA_86163CE1,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),Karnataka,Karnataka
IDA_58112F73,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),Karnataka,Karnataka
IDA_12729155,DANGS(DISTRICT COLLECTOR DANG_IDA),Karnataka,Karnataka
IDA_5831002A,NARMADA(DISTRICT COLLECTOR NARMADA_IDA),Gujarat,Gujarat
IDA_C30F5547,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_4B589809,LAKHISARAI(DISTRICT PLANNING OFFICER LAKHISARAI_IDA),Bihar,Bihar
IDA_D7C76E8A,MATHURA(DISTRICT MAGISTRAE MATHURA_IDA),Uttar Pradesh,Uttar Pradesh
IDA_AB4D710A,NARAYANPET(DISTRICT COLLECTOR NARAYANPET_IDA),Andhra Pradesh,Andhra Pradesh
IDA_220976DB,ANAKAPALLI(DISTRICT COLLECTOR ANAKAPALLI_IDA),Andhra Pradesh,Andhra Pradesh
IDA_1DBA7254,BASTI(DISTRICT MAGISTRATE BASTI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_57C259BF,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_D625DBC2,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),Kerala,Kerala
IDA_BBD4FA6F,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Kerala,Kerala
IDA_DDC082DD,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Kerala,Kerala
IDA_F9E757D4,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Kerala,Kerala
IDA_CB6560BB,BIDAR(DEPUTY COMMISSIONER BIDAR_IDA),Karnataka,Karnataka
IDA_338F0DA9,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Uttar Pradesh,Uttar Pradesh
IDA_9377EAB8,RUDRAPRAYAG(DM RUDRAPRAYAG_IDA),Uttarakhand,Uttarakhand
IDA_B9CD3F2C,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),Tamil Nadu,Tamil Nadu
IDA_C9DDC395,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),Tamil Nadu,Tamil Nadu
IDA_AD34A055,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Madhya Pradesh,Madhya Pradesh
IDA_593A993E,BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA),Rajasthan,Rajasthan
IDA_9F6196DE,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),Rajasthan,Rajasthan
IDA_243EBC0C,DIDWANA-KUCHAMAN(DISTRICT COLLECTOR DIDWANA KUCHAMAN_IDA),Rajasthan,Rajasthan
IDA_4FE5A1EC,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),Madhya Pradesh,Madhya Pradesh
IDA_EBEA35D9,GANGAPURCITY(DISTRICT COLLECTOR GANGAPUR CITY_IDA),Rajasthan,Rajasthan
IDA_4A594408,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Andhra Pradesh,Andhra Pradesh
IDA_978A19D1,SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA),Goa,Goa
IDA_77CAEAEB,CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA),Uttarakhand,Uttarakhand
IDA_3E4D8695,SHAHID BHAGAT SINGH NAGAR(DEPUTY COMMISSIONER SHAHID BHAGAT SINGH NAGAR_IDA),Punjab,Punjab
IDA_3957616D,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Andhra Pradesh,Andhra Pradesh
IDA_4DA5521F,DINDORI(DISTRICT COLLECTOR DINDORI_IDA),Madhya Pradesh,Madhya Pradesh
IDA_0078F83A,GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_4D3A7796,JAIPUR GRAMIN(DISTRICT COLLECTOR JAIPUR GRAMIN_IDA),Rajasthan,Rajasthan
IDA_7E4923E2,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),Tamil Nadu,Tamil Nadu
IDA_A76D5954,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),Kerala,Kerala
IDA_1CD42993,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),Kerala,Kerala
IDA_9FA9F986,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),Telangana,Telangana
IDA_CB04A161,JAGITIAL(DISTRICT COLLECTOR JAGTIAL_IDA),Telangana,Telangana
IDA_B67C5E43,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),Kerala,Kerala
IDA_EB02B23B,KOTPUTLI-BEHROR(DISTRICT COLLECTOR KOTPUTLI BEHROR_IDA),Rajasthan,Rajasthan
IDA_B249EDBE,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Karnataka,Karnataka
IDA_D7C31A64,NANDED(DISTRICT COLLECTOR NANDED_IDA),Maharashtra,Maharashtra
IDA_5C45AB26,PEDDAPALLI(DISTRICT COLLECTOR PEDDAPALLY_IDA),Telangana,Telangana
IDA_DA758ABC,GUNA(DISTRICT COLLECTOR GUNA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_D4D7F210,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Punjab,Punjab
IDA_B980BA28,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Punjab,Punjab
IDA_DF12AFBE,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Punjab,Punjab
IDA_FD78DBEC,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),Kerala,Kerala
IDA_7E2C512D,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Kerala,Kerala
IDA_F28C1FD7,UDALGURI(DEPUTY COMMISSIONER UDALGURI_IDA),Assam,Assam
IDA_B5D79724,CHIRANG(DEPUTY COMMISSIONER CHIRANG_IDA),Assam,Assam
IDA_523EBA83,"SONITPUR(DEPUTY COMMISSIONER SONITPUR, TEZPUR)",Assam,Assam
IDA_4C5DD29B,DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA),Assam,Assam
IDA_4C610B91,KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA),Assam,Assam
IDA_26BD297B,BAKSA(DEPUTY COMMISSIONER BAKSA_IDA),Assam,Assam
IDA_B229332D,TAMULPUR(IDA TAMULPUR),Assam,Assam
IDA_727FA7B7,BARPETA(DEPUTY COMMISSIONER BARPETA 1),Assam,Assam
IDA_2E0EFFB0,BAJALI(DC OFFICE BAJALI),Assam,Assam
IDA_7B55AEC5,NALBARI(DEPUTY COMMISSIONER NALBARI_IDA),Assam,Assam
IDA_E3F0716F,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),Kerala,Kerala
IDA_2E77274F,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Gujarat,Gujarat
IDA_CB0E61BA,WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA),Kerala,Kerala
IDA_8829C3E6,SHAHPURA(DISTRICT COLLECTOR SHAHPURA_IDA),Rajasthan,Rajasthan
IDA_FFE69D96,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Kerala,Kerala
IDA_C1DC2686,JAMTARA(DEPUTY COMMISSIONER JAMTARA_IDA),Jharkhand,Jharkhand
IDA_D9EF1847,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),Maharashtra,Maharashtra
IDA_633563CF,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),Maharashtra,Maharashtra
IDA_49700787,KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),Maharashtra,Maharashtra
IDA_F13B79A8,MOKOKCHUNG(DEPUTY COMMISSIONER MOKOKCHUNG_IDA),Nagaland,Nagaland
IDA_6701FE73,WOKHA(DEPUTY COMMISSIONER WOKHA_IDA),Nagaland,Nagaland
IDA_F598BC0E,KOHIMA(DEPUTY COMMISIONER_7),Nagaland,Nagaland
IDA_99815C19,TSEMINYU(DEPUTY COMMISSIONER TSEMINYU_IDA),Nagaland,Nagaland
IDA_8C8E2502,TUENSANG(DEPUTY COMMISSIONER TUENSANG_IDA),Nagaland,Nagaland
IDA_F09B4B81,DEEG(DISTRICT COLLECTOR DEEG_IDA),Rajasthan,Rajasthan
IDA_B5A3DA15,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),Telangana,Telangana
IDA_6F79785C,KOTA(DISTRICT COLLECTOR KOTA_IDA),Rajasthan,Rajasthan
IDA_04E09C0D,PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA),Tamil Nadu,Tamil Nadu
IDA_4EC93C7D,WARDHA(DISTRICT COLLECTOR WARDHA_IDA),Maharashtra,Maharashtra
IDA_F908DD13,PUNE(DISTRICT COLLECTOR PUNE_IDA),Maharashtra,Maharashtra
IDA_B06423A0,GONDIA(DISTRICT COLLECTOR GONDIA_IDA),Maharashtra,Maharashtra
IDA_25089459,ANNAMAYYA(DISTRICT COLLECTOR ANNAMAYYA_IDA),Andhra Pradesh,Andhra Pradesh
IDA_482CF9AE,KODAGU(DEPUTY COMMSIONER KODAGU_IDA),Karnataka,Karnataka
IDA_1320BA88,"PITHORAGARH(NRLM , PITHORAGARH)",Uttarakhand,Uttarakhand
IDA_31DC6E3D,LEH LADAKH(DEPUTY COMMISSIONER LEH_IDA),Chandigarh,Chandigarh
IDA_3C7FA0D0,NAWADA(DISTRICT PLANNING OFFICER NAWADA_IDA),Bihar,Bihar
IDA_337EC4E9,JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),Bihar,Bihar
IDA_DEA48454,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),Bihar,Bihar
IDA_DDC7869F,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),Bihar,Bihar
IDA_FD25886A,ARWAL(DISTRICT PLANNING OFFICER ARWAL_IDA),Bihar,Bihar
IDA_2EB0D711,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),Bihar,Bihar
IDA_A5F6FBDD,RAYAGADA(DISTRICT COLLECTOR RAYAGADA_IDA),Odisha,Odisha
IDA_6F13208A,AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_9002B7C1,SANGLI(DISTRICT COLLECTOR SANGLI_IDA),Maharashtra,Maharashtra
IDA_007A86A5,CHAMOLI(DM CHAMOLI_IDA),Uttarakhand,Uttarakhand
IDA_64A8605F,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),Rajasthan,Rajasthan
IDA_099C6DC1,BALESHWAR(DISTRICT COLLECTOR BALESHWAR_IDA),Odisha,Odisha
IDA_85D07099,GANGTOK(DISTRICT COLLECTOR EAST DISTRICT_IDA),Sikkim,Sikkim
IDA_17BAE361,PAKYONG(DISTRICT COLLECTOR PAKYONG_IDA),Sikkim,Sikkim
IDA_CE9CF8C6,THANE(DISTRICT COLLECTOR THANE_IDA),Maharashtra,Maharashtra
IDA_6A25CC1F,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),Gujarat,Gujarat
IDA_34062E3E,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),Bihar,Bihar
IDA_DD318213,NEEM KA THANA(DISTRICT COLLECTOR NEEM KA THANA_IDA),Rajasthan,Rajasthan
IDA_1D664172,BALOTRA(DISTRICT COLLECTOR BALOTRA_IDA),Rajasthan,Rajasthan
IDA_BB8B69A4,GANGANAGAR(ZILLA GANGANAGAR),Rajasthan,Rajasthan
IDA_A076EA40,NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA),Goa,Goa
IDA_94AE8096,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),Uttar Pradesh,Uttar Pradesh
IDA_F54918E8,SORENG(DISTRICT COLLECTOR SORENG_IDA),Sikkim,Sikkim
IDA_A8D06028,MANGAN(DISTRICT COLLECTOR MANGAN_IDA),Sikkim,Sikkim
IDA_E3864355,DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA),Rajasthan,Rajasthan
IDA_A6E69E05,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Karnataka,Karnataka
IDA_77C5BAEC,MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA),Telangana,Telangana
IDA_99AA439C,WARANGAL(DISTRICT COLLECTOR WARANGAL_IDA),Telangana,Telangana
IDA_432F72E9,NALGONDA(DISTRICT COLLECTOR NALGONDA),Telangana,Telangana
IDA_93BAC841,DEWAS(DISTRICT COLLECTOR DEWAS_IDA),Madhya Pradesh,Madhya Pradesh
IDA_3B78EF01,MORBI(DISTRICT COLLECTOR MORBI_IDA),Gujarat,Gujarat
IDA_FB6ED975,COOCH BEHAR(DISTRICT MAGISTRATE COOCHBEHAR_IDA),West Bengal,West Bengal
IDA_2A617B6C,SAKTI(COLLECTOR SAKTI_IDA),Chhattisgarh,Chhattisgarh
IDA_82491ADB,DURG(DISTRICT COLLECTOR DURG_IDA),Chhattisgarh,Chhattisgarh
IDA_C115591F,BALODABAZAR-BHATAPARA(COLLECTOR BALODA BAZAR_IDA),Chhattisgarh,Chhattisgarh
IDA_1C1E1221,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),Uttar Pradesh,Uttar Pradesh
IDA_1D3FAA14,DARRANG(DEPUTY COMMISSIONER DARRANG_IDA),Assam,Assam
IDA_8FF87239,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),Maharashtra,Maharashtra
IDA_3729EC44,BALOD(COLLECTOR BALOD_IDA),Chhattisgarh,Chhattisgarh
IDA_2889A8F2,JODHPUR GRAMIN(DISTRICT COLLECTOR JODHPUR RURAL_IDA),Rajasthan,Rajasthan
IDA_DD32BF98,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),Telangana,Telangana
IDA_F085C0DD,KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA),Himachal Pradesh,Himachal Pradesh
IDA_9B01607C,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),Gujarat,Gujarat
IDA_FDB956A4,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),Gujarat,Gujarat
IDA_AA0F2E79,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),Gujarat,Gujarat
IDA_6BCA94A4,PATAN(DISTRICT COLLECTOR PATAN_IDA),Gujarat,Gujarat
IDA_93E69E45,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),Gujarat,Gujarat
IDA_A3DA9092,LAHAUL AND SPITI(DEPUTY COMMISSIONER L AND S_IDA),Himachal Pradesh,Himachal Pradesh
IDA_14B7323C,BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA),Maharashtra,Maharashtra
IDA_4095F7DC,DHULE(DISTRICT COLLECTOR DHULE_IDA),Maharashtra,Maharashtra
IDA_4306B47E,SALUMBAR(DISTRICT COLLECTOR SALUMBAR_IDA),Rajasthan,Rajasthan
IDA_E9AAA09A,SATARA(DISTRICT COLLECTOR SATARA_IDA),Maharashtra,Maharashtra
IDA_778EF213,GYALSHING(DISTRICT COLLECTOR GYALSHING_IDA),Sikkim,Sikkim
IDA_F7953410,BEED(DISTRICT COLLECTOR BEED_IDA),Maharashtra,Maharashtra
IDA_4F3749F0,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),Maharashtra,Maharashtra
IDA_8F2B936F,JALNA(DISTRICT COLLECTOR JALNA_IDA),Maharashtra,Maharashtra
IDA_D2B7AC0C,BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA),Maharashtra,Maharashtra
IDA_97489394,SANGAREDDY(DISTRICT COLLECTOR SANGAREDDY_IDA),Telangana,Telangana
IDA_73A49858,Y.S.R. KADAPA(DISTRICT COLLECTOR CUDDAPAH_IDA),Andhra Pradesh,Andhra Pradesh
IDA_134B839E,LATUR(DISTRICT COLLECTOR LATUR_IDA),Maharashtra,Maharashtra
IDA_38CE5050,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Maharashtra,Maharashtra
IDA_A7F9A6DB,CHHATRAPATI SAMBHAJINAGAR(DISTRICT COLLECTOR AURANGABAD_IDA),Maharashtra,Maharashtra
IDA_5B4F79DA,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),Chhattisgarh,Chhattisgarh
IDA_5EC12712,SURGUJA(COLLECTOR SURGUJA_IDA),Chhattisgarh,Chhattisgarh
IDA_0EAB1F92,KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA),Chhattisgarh,Chhattisgarh
IDA_15E1D25B,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),Odisha,Odisha
IDA_887E25CC,RATNAGIRI(DISTRICT COLLECTOR RATNAGIRI_IDA),Maharashtra,Maharashtra
IDA_4DAC40B5,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),Kerala,Kerala
IDA_5C2BC5BB,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),Gujarat,Gujarat
IDA_E7545294,RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA),Telangana,Telangana
IDA_D6651AF6,HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA),Maharashtra,Maharashtra
IDA_2A2EEF92,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),West Bengal,West Bengal
IDA_01C2E593,PURBA MEDINIPUR(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),West Bengal,West Bengal
IDA_98FCCC00,DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA),Rajasthan,Rajasthan
IDA_EDA0250A,PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA),Rajasthan,Rajasthan
IDA_5089D112,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),Bihar,Bihar
IDA_2A258694,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),Telangana,Telangana
IDA_A86373D3,MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_F42CB82A,DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA),Gujarat,Gujarat
IDA_CA3C84A4,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Uttar Pradesh,Uttar Pradesh
IDA_3CF0BBBA,DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA),Karnataka,Karnataka
IDA_E4C2F350,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Karnataka,Karnataka
IDA_EEE5BAC6,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Gujarat,Gujarat
IDA_018172D2,DAHOD(DISTRICT COLLECTOR DOHAD_IDA),Gujarat,Gujarat
IDA_8BA36BBC,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_697D53CA,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Telangana,Telangana
