source_house,source_file,source_row_number,sr_no,state,honble_members_of_parliament,elected/nominated,allocated_amount_₹,raw_allocated_amount_₹,allocated_limit_amount_inr,canonical_work_category,raw_state,canonical_state,canonical_state_id,raw_constituency,canonical_constituency,canonical_constituency_id,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,148,147,Tamil Nadu,Shri Praveen Chakravarthy (2026-28) (2026-2028),Elected MP,49356476.5,49356476.5,49356476.5,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Praveen Chakravarthy (2026-28) (2026-2028),PRAVEEN CHAKRAVARTHY (2026-28) (2026-2028),MP_RAJYA_SABHA_PRAVEEN_CHAKRAVARTHY__2026_28___2026_2028_,WORK_HASH_10171685170733395038,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,149,148,Tamil Nadu,Shri R. Dharmar (2022-28) (2022-2028),Elected MP,260812242.5,260812242.5,260812242.5,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri R. Dharmar (2022-28) (2022-2028),R. DHARMAR (2022-28) (2022-2028),MP_RAJYA_SABHA_R__DHARMAR__2022_28___2022_2028_,WORK_HASH_9222560569558052000,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,150,149,Tamil Nadu,Shri R. Girirajan (2022-28) (2022-2028),Elected MP,236312242.5,236312242.5,236312242.5,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri R. Girirajan (2022-28) (2022-2028),R. GIRIRAJAN (2022-28) (2022-2028),MP_RAJYA_SABHA_R__GIRIRAJAN__2022_28___2022_2028_,WORK_HASH_12362278003965876529,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,151,150,Punjab,Shri Raghav Chadha (2022-28) (2022-2028),Elected MP,237229207.3,237229207.3,237229207.3,OTHER_WORKS,Punjab,PUNJAB,STATE_PUNJAB,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Raghav Chadha (2022-28) (2022-2028),RAGHAV CHADHA (2022-28) (2022-2028),MP_RAJYA_SABHA_RAGHAV_CHADHA__2022_28___2022_2028_,WORK_HASH_17472175660826461961,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,152,151,West Bengal,Shri Rajeev Kumar (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rajeev Kumar (2026-32) (2026-2032),RAJEEV KUMAR (2026-32) (2026-2032),MP_RAJYA_SABHA_RAJEEV_KUMAR__2026_32___2026_2032_,WORK_HASH_1712725475887974359,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,153,152,Chhattisgarh,Shri Rajeev Shukla (2022-28) (2022-2028),Elected MP,271174394.2,271174394.2,271174394.2,OTHER_WORKS,Chhattisgarh,CHHATTISGARH,STATE_CHHATTISGARH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rajeev Shukla (2022-28) (2022-2028),RAJEEV SHUKLA (2022-28) (2022-2028),MP_RAJYA_SABHA_RAJEEV_SHUKLA__2022_28___2022_2028_,WORK_HASH_2165577480382384035,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,154,153,Gujarat,Shri Rajesh Parmanand Shukla (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Gujarat,GUJARAT,STATE_GUJARAT,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rajesh Parmanand Shukla (2026-32) (2026-2032),RAJESH PARMANAND SHUKLA (2026-32) (2026-2032),MP_RAJYA_SABHA_RAJESH_PARMANAND_SHUKLA__2026_32___2026_2032_,WORK_HASH_11301619329653940467,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,155,154,Tripura,Shri Rajib Bhattacharjee (2024-28) (2024-2028),Elected MP,122500000.0,122500000.0,122500000.0,OTHER_WORKS,Tripura,TRIPURA,STATE_TRIPURA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rajib Bhattacharjee (2024-28) (2024-2028),RAJIB BHATTACHARJEE (2024-28) (2024-2028),MP_RAJYA_SABHA_RAJIB_BHATTACHARJEE__2024_28___2024_2028_,WORK_HASH_9921686146877909253,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,156,155,Punjab,Shri Rajinder Gupta (2025-28) (2025-2028),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Punjab,PUNJAB,STATE_PUNJAB,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rajinder Gupta (2025-28) (2025-2028),RAJINDER GUPTA (2025-28) (2025-2028),MP_RAJYA_SABHA_RAJINDER_GUPTA__2025_28___2025_2028_,WORK_HASH_10331207493175176347,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,157,156,Madhya Pradesh,Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Madhya Pradesh,MADHYA PRADESH,STATE_MADHYA_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032),RAJNEESH KUMAR AGRAWAL (2026-32) (2026-2032),MP_RAJYA_SABHA_RAJNEESH_KUMAR_AGRAWAL__2026_32___2026_2032_,WORK_HASH_2776904881773538170,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,158,157,Bihar,Shri Ram Nath Thakur (2026-32) (2026-2032),Elected MP,65673638.73,65673638.73,65673638.73,OTHER_WORKS,Bihar,BIHAR,STATE_BIHAR,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ram Nath Thakur (2026-32) (2026-2032),RAM NATH THAKUR (2026-32) (2026-2032),MP_RAJYA_SABHA_RAM_NATH_THAKUR__2026_32___2026_2032_,WORK_HASH_7113158044558032513,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,159,158,Maharashtra,Shri Ramdas Bandu Athawale (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ramdas Bandu Athawale (2026-32) (2026-2032),RAMDAS BANDU ATHAWALE (2026-32) (2026-2032),MP_RAJYA_SABHA_RAMDAS_BANDU_ATHAWALE__2026_32___2026_2032_,WORK_HASH_12644718927734033681,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,160,159,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),Elected MP,174518577.1,174518577.1,174518577.1,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ramji (2020-26) (2020-2026),RAMJI (2020-26) (2020-2026),MP_RAJYA_SABHA_RAMJI__2020_26___2020_2026_,WORK_HASH_16158234846459601803,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,161,160,Uttar Pradesh,Shri Ramji Lal Suman (2024-30) (2024-2030),Elected MP,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ramji Lal Suman (2024-30) (2024-2030),RAMJI LAL SUMAN (2024-30) (2024-2030),MP_RAJYA_SABHA_RAMJI_LAL_SUMAN__2024_30___2024_2030_,WORK_HASH_10149369041311706209,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,162,161,Maharashtra,Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032),RAMRAO SAKHARAM WADKUTE (2026-32) (2026-2032),MP_RAJYA_SABHA_RAMRAO_SAKHARAM_WADKUTE__2026_32___2026_2032_,WORK_HASH_17299327867276009167,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,163,162,Rajasthan,Shri Randeep Singh Surjewala (2022-28) (2022-2028),Elected MP,196063957.1,196063957.1,196063957.1,OTHER_WORKS,Rajasthan,RAJASTHAN,STATE_RAJASTHAN,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Randeep Singh Surjewala (2022-28) (2022-2028),RANDEEP SINGH SURJEWALA (2022-28) (2022-2028),MP_RAJYA_SABHA_RANDEEP_SINGH_SURJEWALA__2022_28___2022_2028_,WORK_HASH_18301877684665204842,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,164,163,Uttar Pradesh,Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Elected MP,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030),RATANJIT PRATAP NARAIN SINGH (2024-30) (2024-2030),MP_RAJYA_SABHA_RATANJIT_PRATAP_NARAIN_SINGH__2024_30___2024_2030_,WORK_HASH_8170872768139677799,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,165,164,Telangana,Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),Elected MP,152732534.1,152732534.1,152732534.1,OTHER_WORKS,Telangana,TELANGANA,STATE_TELANGANA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),RAVI CHANDRA VADDIRAJU (2024-30) (2024-2030),MP_RAJYA_SABHA_RAVI_CHANDRA_VADDIRAJU__2024_30___2024_2030_,WORK_HASH_15400031552760195070,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,166,165,Assam,Shri Rwngwra Narzary (2022-28) (2022-2028),Elected MP,220563957.1,220563957.1,220563957.1,OTHER_WORKS,Assam,ASSAM,STATE_ASSAM,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Rwngwra Narzary (2022-28) (2022-2028),RWNGWRA NARZARY (2022-28) (2022-2028),MP_RAJYA_SABHA_RWNGWRA_NARZARY__2022_28___2022_2028_,WORK_HASH_16033816382834002162,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,167,166,Andhra Pradesh,Shri Ryaga Krishnaiah (2024-28) (2024-2028),Elected MP,170413583.8,170413583.8,170413583.8,OTHER_WORKS,Andhra Pradesh,ANDHRA PRADESH,STATE_ANDHRA_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Ryaga Krishnaiah (2024-28) (2024-2028),RYAGA KRISHNAIAH (2024-28) (2024-2028),MP_RAJYA_SABHA_RYAGA_KRISHNAIAH__2024_28___2024_2028_,WORK_HASH_16968434644011019737,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,168,167,Andhra Pradesh,Shri S Niranjan Reddy (2022-28) (2022-2028),Elected MP,224621383.1,224621383.1,224621383.1,OTHER_WORKS,Andhra Pradesh,ANDHRA PRADESH,STATE_ANDHRA_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri S Niranjan Reddy (2022-28) (2022-2028),S NIRANJAN REDDY (2022-28) (2022-2028),MP_RAJYA_SABHA_S_NIRANJAN_REDDY__2022_28___2022_2028_,WORK_HASH_15311896779085704723,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,169,168,Gujarat,Shri S. Jaishankar (2023-29) (2023-2029),Elected MP,171500000.0,171500000.0,171500000.0,OTHER_WORKS,Gujarat,GUJARAT,STATE_GUJARAT,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri S. Jaishankar (2023-29) (2023-2029),S. JAISHANKAR (2023-29) (2023-2029),MP_RAJYA_SABHA_S__JAISHANKAR__2023_29___2023_2029_,WORK_HASH_8564156690929994609,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,170,169,Tamil Nadu,Shri S. Kalyanasundaram (2022-28) (2022-2028),Elected MP,239763792.5,239763792.5,239763792.5,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri S. Kalyanasundaram (2022-28) (2022-2028),S. KALYANASUNDARAM (2022-28) (2022-2028),MP_RAJYA_SABHA_S__KALYANASUNDARAM__2022_28___2022_2028_,WORK_HASH_3953112638867719158,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,171,170,Puducherry,Shri S. Selvaganabathy (2021-27) (2021-2027),Elected MP,292881856.5,292881856.5,292881856.5,OTHER_WORKS,Puducherry,PUDUCHERRY,STATE_PUDUCHERRY,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri S. Selvaganabathy (2021-27) (2021-2027),S. SELVAGANABATHY (2021-27) (2021-2027),MP_RAJYA_SABHA_S__SELVAGANABATHY__2021_27___2021_2027_,WORK_HASH_3562949269786416967,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,172,171,Tamil Nadu,Shri S.R. Sivalingam (2025-31) (2025-2031),Elected MP,89248285.42,89248285.42,89248285.42,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri S.R. Sivalingam (2025-31) (2025-2031),S.R. SIVALINGAM (2025-31) (2025-2031),MP_RAJYA_SABHA_S_R__SIVALINGAM__2025_31___2025_2031_,WORK_HASH_2768028472351375134,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,173,172,Goa,Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Elected MP,171500000.0,171500000.0,171500000.0,OTHER_WORKS,Goa,GOA,STATE_GOA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),SADANAND MHALU SHET TANAVADE (2023-29) (2023-2029),MP_RAJYA_SABHA_SADANAND_MHALU_SHET_TANAVADE__2023_29___2023_2029_,WORK_HASH_6173942841815214360,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,174,173,Jammu And Kashmir,Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031),Elected MP,73500000.0,73500000.0,73500000.0,OTHER_WORKS,Jammu And Kashmir,JAMMU AND KASHMIR,STATE_JAMMU_AND_KASHMIR,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031),SAJJAD AHMAD KICHLOO (2025-31) (2025-2031),MP_RAJYA_SABHA_SAJJAD_AHMAD_KICHLOO__2025_31___2025_2031_,WORK_HASH_7484953892860745176,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,175,174,West Bengal,Shri Samik Bhattacharya (2024-30) (2024-2030),Elected MP,147000000.0,147000000.0,147000000.0,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Samik Bhattacharya (2024-30) (2024-2030),SAMIK BHATTACHARYA (2024-30) (2024-2030),MP_RAJYA_SABHA_SAMIK_BHATTACHARYA__2024_30___2024_2030_,WORK_HASH_15769801404862511200,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,176,175,West Bengal,Shri Samirul Islam (2023-29) (2023-2029),Elected MP,171500000.0,171500000.0,171500000.0,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Samirul Islam (2023-29) (2023-2029),SAMIRUL ISLAM (2023-29) (2023-2029),MP_RAJYA_SABHA_SAMIRUL_ISLAM__2023_29___2023_2029_,WORK_HASH_644823903952642421,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,177,176,Andhra Pradesh,Shri Sana Sathish Babu (2026-32) (2026-2032),Elected MP,49063978.0,49063978.0,49063978.0,OTHER_WORKS,Andhra Pradesh,ANDHRA PRADESH,STATE_ANDHRA_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sana Sathish Babu (2026-32) (2026-2032),SANA SATHISH BABU (2026-32) (2026-2032),MP_RAJYA_SABHA_SANA_SATHISH_BABU__2026_32___2026_2032_,WORK_HASH_14675669988846493289,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,178,177,Kerala,Shri Sandosh Kumar P (2022-28) (2022-2028),Elected MP,220563957.1,220563957.1,220563957.1,OTHER_WORKS,Kerala,KERALA,STATE_KERALA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sandosh Kumar P (2022-28) (2022-2028),SANDOSH KUMAR P (2022-28) (2022-2028),MP_RAJYA_SABHA_SANDOSH_KUMAR_P__2022_28___2022_2028_,WORK_HASH_18302341016565220560,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,179,178,Haryana,Shri Sanjay Bhatia (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Haryana,HARYANA,STATE_HARYANA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sanjay Bhatia (2026-32) (2026-2032),SANJAY BHATIA (2026-32) (2026-2032),MP_RAJYA_SABHA_SANJAY_BHATIA__2026_32___2026_2032_,WORK_HASH_5230049584580624470,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,180,179,Bihar,Shri Sanjay Kumar Jha (2024-30) (2024-2030),Elected MP,186200000.0,186200000.0,186200000.0,OTHER_WORKS,Bihar,BIHAR,STATE_BIHAR,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sanjay Kumar Jha (2024-30) (2024-2030),SANJAY KUMAR JHA (2024-30) (2024-2030),MP_RAJYA_SABHA_SANJAY_KUMAR_JHA__2024_30___2024_2030_,WORK_HASH_7327573204416600036,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,181,180,Maharashtra,Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,196063957.1,196063957.1,196063957.1,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sanjay Raut (2022-28) (2022-2028),SANJAY RAUT (2022-28) (2022-2028),MP_RAJYA_SABHA_SANJAY_RAUT__2022_28___2022_2028_,WORK_HASH_6425451932259353747,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,182,181,Uttar Pradesh,Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sanjay Seth (2024-30) (2024-2030),SANJAY SETH (2024-30) (2024-2030),MP_RAJYA_SABHA_SANJAY_SETH__2024_30___2024_2030_,WORK_HASH_5922539126618391827,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,183,182,Delhi,Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,184466426.1,184466426.1,184466426.1,OTHER_WORKS,Delhi,DELHI,STATE_DELHI,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sanjay Singh (2024-30) (2024-2030),SANJAY SINGH (2024-30) (2024-2030),MP_RAJYA_SABHA_SANJAY_SINGH__2024_30___2024_2030_,WORK_HASH_1129831746671217353,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,184,183,Bihar,Shri Sanjay Yadav (2024-30) (2024-2030),Elected MP,186200000.0,186200000.0,186200000.0,OTHER_WORKS,Bihar,BIHAR,STATE_BIHAR,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sanjay Yadav (2024-30) (2024-2030),SANJAY YADAV (2024-30) (2024-2030),MP_RAJYA_SABHA_SANJAY_YADAV__2024_30___2024_2030_,WORK_HASH_4378255174240073356,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,185,184,Punjab,Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,196359074.4,196359074.4,196359074.4,OTHER_WORKS,Punjab,PUNJAB,STATE_PUNJAB,Elected MP,ELECTED MP,NOM_ELECTED_MP,Shri Sant Balbir Singh (2022-28) (2022-2028),SANT BALBIR SINGH (2022-28) (2022-2028),MP_RAJYA_SABHA_SANT_BALBIR_SINGH__2022_28___2022_2028_,WORK_HASH_18437956791383253641,UNKNOWN_FY
